id,type,subject,category,unit,title,problem,answer,correct_answer,incorrect_answer_1,incorrect_answer_2,incorrect_answer_3,incorrect_answer_4,supplement_problem,supplement_answer,no_of_times_shown,no_of_times_attempted,completion_flag,need_for_review,note_1,note_2
1,1,a1,Grade 1,Unit 1,a1 - Grade 1 - Unit 1 - Q1,Dummy problem for a1 - Grade 1 - Unit 1 - Q1,Answer 1,,,,,,,Supp problem,Supp answer,0,0,,,,
2,2,a1,Grade 1,Unit 1,a1 - Grade 1 - Unit 1 - Q2,Dummy problem for a1 - Grade 1 - Unit 1 - Q2,,Choice A 2,Choice B 2,Choice C 2,Choice D 2,Choice E 2,,Supp problem,Supp answer,0,0,,,,
3,1,a1,Grade 1,Unit 1,a1 - Grade 1 - Unit 1 - Q3,Dummy problem for a1 - Grade 1 - Unit 1 - Q3,Answer 3,,,,,,,Supp problem,Supp answer,0,0,,,,
4,2,a1,Grade 1,Unit 1,a1 - Grade 1 - Unit 1 - Q4,Dummy problem for a1 - Grade 1 - Unit 1 - Q4,,Choice A 4,Choice B 4,Choice C 4,Choice D 4,Choice E 4,,Supp problem,Supp answer,0,0,,,,
5,1,a1,Grade 1,Unit 1,a1 - Grade 1 - Unit 1 - Q5,Dummy problem for a1 - Grade 1 - Unit 1 - Q5,Answer 5,,,,,,,Supp problem,Supp answer,0,0,,,,
6,2,a1,Grade 1,Unit 1,a1 - Grade 1 - Unit 1 - Q6,Dummy problem for a1 - Grade 1 - Unit 1 - Q6,,Choice A 6,Choice B 6,Choice C 6,Choice D 6,Choice E 6,,Supp problem,Supp answer,0,0,,,,
7,1,a1,Grade 1,Unit 1,a1 - Grade 1 - Unit 1 - Q7,Dummy problem for a1 - Grade 1 - Unit 1 - Q7,Answer 7,,,,,,,Supp problem,Supp answer,0,0,,,,
8,2,a1,Grade 1,Unit 1,a1 - Grade 1 - Unit 1 - Q8,Dummy problem for a1 - Grade 1 - Unit 1 - Q8,,Choice A 8,Choice B 8,Choice C 8,Choice D 8,Choice E 8,,Supp problem,Supp answer,0,0,,,,
9,1,a1,Grade 1,Unit 1,a1 - Grade 1 - Unit 1 - Q9,Dummy problem for a1 - Grade 1 - Unit 1 - Q9,Answer 9,,,,,,,Supp problem,Supp answer,0,0,,,,
10,2,a1,Grade 1,Unit 1,a1 - Grade 1 - Unit 1 - Q10,Dummy problem for a1 - Grade 1 - Unit 1 - Q10,,Choice A 10,Choice B 10,Choice C 10,Choice D 10,Choice E 10,,Supp problem,Supp answer,0,0,,,,
11,1,a1,Grade 1,Unit 1,a1 - Grade 1 - Unit 1 - Q11,Dummy problem for a1 - Grade 1 - Unit 1 - Q11,Answer 11,,,,,,,Supp problem,Supp answer,0,0,,,,
12,2,a1,Grade 1,Unit 1,a1 - Grade 1 - Unit 1 - Q12,Dummy problem for a1 - Grade 1 - Unit 1 - Q12,,Choice A 12,Choice B 12,Choice C 12,Choice D 12,Choice E 12,,Supp problem,Supp answer,0,0,,,,
13,1,a1,Grade 1,Unit 1,a1 - Grade 1 - Unit 1 - Q13,Dummy problem for a1 - Grade 1 - Unit 1 - Q13,Answer 13,,,,,,,Supp problem,Supp answer,0,0,,,,
14,2,a1,Grade 1,Unit 1,a1 - Grade 1 - Unit 1 - Q14,Dummy problem for a1 - Grade 1 - Unit 1 - Q14,,Choice A 14,Choice B 14,Choice C 14,Choice D 14,Choice E 14,,Supp problem,Supp answer,0,0,,,,
15,1,a1,Grade 1,Unit 1,a1 - Grade 1 - Unit 1 - Q15,Dummy problem for a1 - Grade 1 - Unit 1 - Q15,Answer 15,,,,,,,Supp problem,Supp answer,0,0,,,,
16,2,a1,Grade 1,Unit 1,a1 - Grade 1 - Unit 1 - Q16,Dummy problem for a1 - Grade 1 - Unit 1 - Q16,,Choice A 16,Choice B 16,Choice C 16,Choice D 16,Choice E 16,,Supp problem,Supp answer,0,0,,,,
17,1,a1,Grade 1,Unit 1,a1 - Grade 1 - Unit 1 - Q17,Dummy problem for a1 - Grade 1 - Unit 1 - Q17,Answer 17,,,,,,,Supp problem,Supp answer,0,0,,,,
18,2,a1,Grade 1,Unit 1,a1 - Grade 1 - Unit 1 - Q18,Dummy problem for a1 - Grade 1 - Unit 1 - Q18,,Choice A 18,Choice B 18,Choice C 18,Choice D 18,Choice E 18,,Supp problem,Supp answer,0,0,,,,
19,1,a1,Grade 1,Unit 1,a1 - Grade 1 - Unit 1 - Q19,Dummy problem for a1 - Grade 1 - Unit 1 - Q19,Answer 19,,,,,,,Supp problem,Supp answer,0,0,,,,
20,2,a1,Grade 1,Unit 1,a1 - Grade 1 - Unit 1 - Q20,Dummy problem for a1 - Grade 1 - Unit 1 - Q20,,Choice A 20,Choice B 20,Choice C 20,Choice D 20,Choice E 20,,Supp problem,Supp answer,0,0,,,,
21,1,a1,Grade 1,Unit 1,a1 - Grade 1 - Unit 1 - Q21,Dummy problem for a1 - Grade 1 - Unit 1 - Q21,Answer 21,,,,,,,Supp problem,Supp answer,0,0,,,,
22,2,a1,Grade 1,Unit 1,a1 - Grade 1 - Unit 1 - Q22,Dummy problem for a1 - Grade 1 - Unit 1 - Q22,,Choice A 22,Choice B 22,Choice C 22,Choice D 22,Choice E 22,,Supp problem,Supp answer,0,0,,,,
